ubuntu@ip-172-31-12-111:~/optcarrot$ RUBYOPT="-Ilib -r./tools/shim" ruby-prof bin/optcarrot -- --benchmark examples/Lan_Master.nes
fps: 0.49605795825480586
checksum: 59662
Abstract: setup_options
Abstract: print_threads
Threads [2]
Thread...
Print_thread
Measure Mode: wall_time
Thread ID: 7051680
Fiber ID: 11438140
Total: 381.340411
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.009     0.001     0.000     0.008      177   Optcarrot::CPU#do_isr
  0.00      0.647     0.001     0.000     0.645      525   Optcarrot::APU#update_latency
  0.00      0.003     0.001     0.000     0.001      177   Optcarrot::CPU#flags_pack
  0.00      0.002     0.001     0.000     0.001      177   Optcarrot::CPU#flags_unpack
  0.00      0.650     0.001     0.000     0.649      350   Optcarrot::APU::Pulse#poke_0
  0.00      0.007     0.001     0.000     0.006      177   Optcarrot::CPU#_rti
  0.00      0.002     0.001     0.000     0.000      772   Optcarrot::CPU#_eor
  0.00      0.002     0.001     0.000     0.001      180   Optcarrot::CPU#vsync
  0.00      0.001     0.001     0.000     0.000     1087   Optcarrot::CPU#_ldx
  0.00      0.009     0.001     0.000     0.008       11   Hash#each_value
  0.00      0.004     0.001     0.000     0.003      348   Optcarrot::APU::Triangle#update_freq
  0.00      0.007     0.001     0.000     0.006      174   Optcarrot::APU::Noise#poke_2
  0.00      0.011     0.001     0.000     0.010      175   Optcarrot::APU::Triangle#poke_0
  0.00      0.001     0.001     0.000     0.000      256   Optcarrot::CPU#_cpy
  0.00      0.002     0.001     0.000     0.001      243   Optcarrot::CPU#dmc_dma
  0.00      0.007     0.001     0.000     0.006      179   Optcarrot::APU#update_delta
  0.00      0.002     0.001     0.000     0.001      180   Optcarrot::PPU#setup_frame
  0.00      0.001     0.001     0.000     0.000       15   Array#*
  0.00      0.001     0.001     0.000     0.000      296   Optcarrot::CPU#do_irq
  0.00      0.001     0.001     0.000     0.000     1536   Array#min
  0.00      0.001     0.001     0.000     0.000     1536   Float#floor
  0.00      0.001     0.001     0.000     0.000        2   String#bytes
  0.00      0.001     0.001     0.000     0.000      756   Optcarrot::CPU#_sty
  0.00      0.003     0.001     0.000     0.003       38   Hash#each
  0.00      0.001     0.001     0.000     0.000      358   Optcarrot::APU::Noise#clock_length_counter
  0.00      0.001     0.001     0.000     0.000     1056   Symbol#==
  0.00      0.000     0.000     0.000     0.000      543   Array#clear
  0.00      0.003     0.000     0.000     0.002      220   Optcarrot::CPU#_bcs
  0.00      0.003     0.000     0.000     0.002      210   Optcarrot::CPU#_bcc
  0.00      0.012     0.000     0.000     0.012      174   Optcarrot::APU::Triangle#poke_3
  0.00      0.000     0.000     0.000     0.000      358   Optcarrot::APU::Triangle#clock_length_counter
  0.00      0.000     0.000     0.000     0.000      180   Optcarrot::CPU#next_frame_clock=
  0.00      0.000     0.000     0.000     0.000      180   Array#concat
  0.00      0.000     0.000     0.000     0.000      179   Optcarrot::APU::LengthCounter#write
  0.00      0.000     0.000     0.000     0.000      180   <Module::Process>#clock_gettime
  0.00      0.000     0.000     0.000     0.000      541   Integer#%
  0.00      0.000     0.000     0.000     0.000      115   Optcarrot::CPU#_sec
  0.00      0.000     0.000     0.000     0.000      455   Module#method_added
  0.00      0.000     0.000     0.000     0.000        4   Array#slice!
  0.00    359.768     0.000     0.000   359.768        1   Optcarrot::NES#run
  0.00      0.000     0.000     0.000     0.000      179   Float#**
  0.00      0.642     0.000     0.000     0.642       42   Optcarrot::CPU#add_mappings
  0.00      0.000     0.000     0.000     0.000      332   Symbol#to_s
  0.00      0.000     0.000     0.000     0.000      180   Optcarrot::CPU#next_frame_clock
  0.00      0.000     0.000     0.000     0.000      180   Array#shift
  0.00      0.000     0.000     0.000     0.000      218   String#tr
  0.00      0.000     0.000     0.000     0.000        2   Integer#times
  0.00      0.000     0.000     0.000     0.000       38   Module#attr_reader
  0.00      0.000     0.000     0.000     0.000      298   String#==
  0.00      0.001     0.000     0.000     0.000        1   Optcarrot::APU#reset_mapping
  0.00      0.000     0.000     0.000     0.000      299   Kernel#is_a?
  0.00      0.000     0.000     0.000     0.000      179   Float#-
  0.00      0.004     0.000     0.000     0.003       86   <Class::Optcarrot::CPU>#op
  0.00      0.000     0.000     0.000     0.000      179   Float#/
  0.00      0.000     0.000     0.000     0.000      180   Optcarrot::Audio#tick
  0.00      0.000     0.000     0.000     0.000      218   String#size
  0.00      0.038     0.000     0.000     0.038        2   Optcarrot::PPU#reset
  0.00      0.000     0.000     0.000     0.000      180   Array#last
  0.00     18.895     0.000     0.000    18.895       16  *Kernel#require_relative
  0.00      0.000     0.000     0.000     0.000      180   Optcarrot::Input#tick
  0.00      0.000     0.000     0.000     0.000      180   Optcarrot::ROM#vsync
  0.00      0.000     0.000     0.000     0.000      212   Array#include?
  0.00      0.000     0.000     0.000     0.000       26   Optcarrot::CPU#_cpx
  0.00      0.000     0.000     0.000     0.000      180   Array#first
  0.00      0.000     0.000     0.000     0.000      178   NilClass#to_a
  0.00      0.010     0.000     0.000     0.010        7   Optcarrot::APU#poke_4015
  0.00      0.003     0.000     0.000     0.003        9   Optcarrot::Config::Parser#parse_option
  0.00      0.000     0.000     0.000     0.000       32   IO#set_encoding
  0.00      0.000     0.000     0.000     0.000       28   Optcarrot::APU::Oscillator#enable
  0.00      0.000     0.000     0.000     0.000       75   Kernel#method
  0.00      0.000     0.000     0.000     0.000       12   Optcarrot::CPU#clear_irq
  0.00      0.000     0.000     0.000     0.000      121   Method#hash
  0.00      0.000     0.000     0.000     0.000        1   <Class::IO>#binread
  0.00      0.038     0.000     0.000     0.038        3   Optcarrot::PPU#poke_2001
  0.00      0.000     0.000     0.000     0.000        8   Optcarrot::APU::Oscillator#reset
  0.00      0.000     0.000     0.000     0.000       28   Optcarrot::APU::LengthCounter#enable
  0.00      0.012     0.000     0.000     0.012        1   Optcarrot::ROM#initialize
  0.00      0.000     0.000     0.000     0.000       28   Optcarrot::APU::LengthCounter#clock
  0.00      0.001     0.000     0.000     0.001        2   Optcarrot::APU#poke_4017
  0.00      0.363     0.000     0.000     0.363        2   Optcarrot::CPU#reset
  0.00      0.000     0.000     0.000     0.000        2   IO#write
  0.00      0.001     0.000     0.000     0.001        2   Optcarrot::APU#reset
  0.00     21.246     0.000     0.000    21.245       50  *Enumerable#map
  0.00      0.000     0.000     0.000     0.000       89   String#start_with?
  0.00      0.003     0.000     0.000     0.003        1   Optcarrot::NES#dispose
  0.00    381.340     0.000     0.000   381.340        2   [global]#[no method]
  0.00      0.000     0.000     0.000     0.000        1   String#sum
  0.00      0.000     0.000     0.000     0.000        7   Optcarrot::APU::DMC#enable
  0.00      0.000     0.000     0.000     0.000        4   Optcarrot::APU::Pulse#reset
  0.00      0.000     0.000     0.000     0.000        6   Optcarrot::APU::Envelope#reset
  0.00      0.000     0.000     0.000     0.000        1   <Class::Struct>#new
  0.00      0.000     0.000     0.000     0.000        4   Optcarrot::APU::DMC#poke_0
  0.00      0.000     0.000     0.000     0.000       44   BasicObject#==
  0.00      0.000     0.000     0.000     0.000        4   Optcarrot::Config::Parser#parse_operand
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::ROM#parse_header
  0.00      0.000     0.000     0.000     0.000        8   Numeric#step
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::APU#initialize
  0.00      0.008     0.000     0.000     0.008        1   Optcarrot::Video#initialize
  0.00      0.000     0.000     0.000     0.000        3   <Module::Optcarrot::Driver>#load_each
  0.00      0.000     0.000     0.000     0.000       29   Class#inherited
  0.00      0.183     0.000     0.000     0.183        1   Optcarrot::CPU#initialize
  0.00      0.013     0.000     0.000     0.013        1   <Class::Optcarrot::ROM>#load
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::APU::DMC#reset
  0.00      0.003     0.000     0.000     0.003        1   Optcarrot::Config::Parser#initialize
  0.00      0.000     0.000     0.000     0.000       29   Method#eql?
  0.00      0.000     0.000     0.000     0.000        1   String#%
  0.00      2.469     0.000     0.000     2.469        1   Optcarrot::PPU#initialize
  0.00      0.003     0.000     0.000     0.003        9   Optcarrot::Config::Parser#find_option
  0.00      0.000     0.000     0.000     0.000        4   Optcarrot::APU::Oscillator#update_settings
  0.00      0.461     0.000     0.000     0.461        1   Optcarrot::NES#reset
  0.00      2.468     0.000     0.000     2.468        1   Optcarrot::PPU#setup_lut
  0.00      0.000     0.000     0.000     0.000        8   Optcarrot::APU::LengthCounter#reset
  0.00      0.000     0.000     0.000     0.000        9   String#=~
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::PPU#poke_2005
  0.00      0.000     0.000     0.000     0.000       20   Kernel#instance_variable_set
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::APU::Pulse#poke_1
  0.00      0.000     0.000     0.000     0.000        4   Optcarrot::APU::Oscillator#initialize
  0.00      0.000     0.000     0.000     0.000       12   BasicObject#singleton_method_added
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::APU::Pulse#initialize
  0.00      0.000     0.000     0.000     0.000        3   Optcarrot::APU::DMC#poke_1
  0.00    362.445     0.000     0.000   362.445       27  *Class#new
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::APU::Triangle#reset
  0.00      0.000     0.000     0.000     0.000        9   String#split
  0.00      0.000     0.000     0.000     0.000       10   Optcarrot::CPU#_stx
  0.00      0.000     0.000     0.000     0.000       28   Hash#key?
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::APU::Noise#reset
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Pads#reset
  0.00      0.000     0.000     0.000     0.000        2   IO#puts
  0.00      0.000     0.000     0.000     0.000        4   Optcarrot::APU::Pulse#poke_3
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Audio#initialize
  0.00      0.000     0.000     0.000     0.000        3   Optcarrot::APU::DMC#poke_2
  0.00      0.008     0.000     0.000     0.008        1   <Module::Optcarrot::Driver>#load
  0.00      0.000     0.000     0.000     0.000        3   Range#to_a
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::CPU#odd_clock?
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::PPU#nametables=
  0.00      0.000     0.000     0.000     0.000        3   Optcarrot::APU::DMC#poke_3
  0.00      0.000     0.000     0.000     0.000        3   Optcarrot::APU::Mixer#reset
  0.00      0.000     0.000     0.000     0.000        9   Symbol#===
  0.00      0.000     0.000     0.000     0.000        1   Float#to_s
  0.00      0.000     0.000     0.000     0.000        1   Fiber#initialize
  0.00      0.000     0.000     0.000     0.000        4   Optcarrot::Pad#reset
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::PPU#update_output_color
  0.00      0.000     0.000     0.000     0.000        2   Array#fill
  0.00      0.000     0.000     0.000     0.000        2   Kernel#puts
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Pads#initialize
  0.00      0.000     0.000     0.000     0.000        1   <Class::File>#basename
  0.00      0.000     0.000     0.000     0.000        1   Hash#compare_by_identity
  0.00      0.000     0.000     0.000     0.000        2   Module#append_features
  0.00      0.000     0.000     0.000     0.000        1   Module#attr_writer
  0.00      0.000     0.000     0.000     0.000        1   Module#attr_accessor
  0.00      0.000     0.000     0.000     0.000        5   Optcarrot::APU::Envelope#reset_clock
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::Pad#initialize
  0.00      0.000     0.000     0.000     0.000        1   <Class::File>#extname
  0.00      0.000     0.000     0.000     0.000        1   Hash#merge
  0.00      0.000     0.000     0.000     0.000       10   Array#empty?
  0.00      0.000     0.000     0.000     0.000        2   Kernel#dup
  0.00      0.000     0.000     0.000     0.000        3   Optcarrot::Config#debug
  0.00      0.000     0.000     0.000     0.000        7   BasicObject#initialize
  0.00      0.000     0.000     0.000     0.000        2   Module#include
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::PPU#update_enabled_flags
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::APU::Triangle#initialize
  0.00      0.000     0.000     0.000     0.000        3   Module#const_get
  0.00      0.000     0.000     0.000     0.000        3   String#to_sym
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::CPU#_sei
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::CPU#boot
  0.00      0.000     0.000     0.000     0.000        4   BasicObject#equal?
  0.00      0.000     0.000     0.000     0.000        1   Hash#initialize_copy
  0.00      0.000     0.000     0.000     0.000        2   Kernel#initialize_dup
  0.00      0.000     0.000     0.000     0.000        3   Hash#keys
  0.00      0.000     0.000     0.000     0.000        3   Enumerable#to_a
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::APU::Noise#initialize
  0.00      0.008     0.000     0.000     0.008        1   <Module::Optcarrot::Palette>#defacto_palette
  0.00      0.003     0.000     0.000     0.003        1   Optcarrot::Config#initialize
  0.00      2.676     0.000     0.000     2.676        1   Optcarrot::NES#initialize
  0.00      0.000     0.000     0.000     0.000        2   Module#module_function
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::ROM#save_battery
  0.00      0.000     0.000     0.000     0.000        1   Integer#to_s
  0.00      0.000     0.000     0.000     0.000        1   Kernel#class
  0.00      0.000     0.000     0.000     0.000        1   Array#rotate!
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::CPU#_txs
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::PPU#set_chr_mem
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::APU::DMC#initialize
  0.00      0.000     0.000     0.000     0.000        1   Kernel#Integer
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Config#info
  0.00      0.242     0.000     0.000     0.242        1   Optcarrot::ROM#reset
  0.00      0.000     0.000     0.000     0.000        1   Enumerable#all?
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::ROM#init
  0.00      0.000     0.000     0.000     0.000        1   Array#==
  0.00      0.000     0.000     0.000     0.000        2   Hash#fetch
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::APU::Mixer#initialize
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Audio#spec
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Input#initialize
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Video#init
  0.00      0.000     0.000     0.000     0.000        2   Array#unshift
  0.00      0.000     0.000     0.000     0.000        1   Module#==
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::ROM#load_battery
  0.00      0.000     0.000     0.000     0.000        1   Array#initialize_copy
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Input#init
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Audio#init
  0.00      0.008     0.000     0.000     0.008        1   Enumerable#flat_map
  0.00      0.000     0.000     0.000     0.000        1   Array#+
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Video#dispose
  0.00      0.000     0.000     0.000     0.000        1   Array#max
  0.00      0.000     0.000     0.000     0.000        1   Kernel#freeze
  0.00      0.000     0.000     0.000     0.000        1   Array#reverse
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Input#dispose
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Audio#dispose
  0.00      0.000     0.000     0.000     0.000        2   Module#included

* indicates recursively called methods
print_thread / end
Thread...
Print_thread
Measure Mode: wall_time
Thread ID: 7051680
Fiber ID: 33874760
Total: 358.984827
Sort by: self_time

 %self      total      self      wait     child     calls  name
 17.80    289.353    63.910     0.000   225.443    86278   Numeric#step
 12.41     66.042    44.549     0.000    21.493 10997760   Optcarrot::PPU#render_pixel
  8.35     43.551    29.986     0.000    13.565 13234902   Optcarrot::PPU#wait_one_clock
  4.39     15.771    15.771     0.000     0.000 33197881   Array#[]
  3.68     19.619    13.222     0.000     6.397  2679680   Optcarrot::PPU#evaluate_sprites_odd_phase_1
  3.66     13.144    13.144     0.000     0.000 28029482   Integer#+
  2.95     34.478    10.577     0.000    23.900  4019592   Optcarrot::PPU#evaluate_sprites_odd
  2.24     11.439     8.054     0.000     3.385  3545240   Optcarrot::PPU#open_pattern
  2.16      7.758     7.758     0.000     0.000 16675332   Integer#<=
  2.07      9.337     7.420     0.000     1.917  4019591   Optcarrot::PPU#evaluate_sprites_even
  1.92      6.878     6.878     0.000     0.000  7147593   Optcarrot::PPU#update_address_line
  1.61      5.772     5.772     0.000     0.000 11864340   Integer#==
  1.58      9.046     5.668     0.000     3.379  1776976   Optcarrot::PPU#open_attr
