C02RP0G1G8WM:optcarrot noah.gibbs$ RUBYOPT="-Ilib -r./tools/shim" ruby-prof bin/optcarrot -- --benchmark examples/Lan_Master.nes
fps: 1.8973563923009664
checksum: 59662
Measure Mode: wall_time
Thread ID: 70134173740700
Fiber ID: 70134178158860
Total: 100.575851
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000      179   Optcarrot::APU::LengthCounter#write
  0.00      0.001     0.000     0.000     0.001       38   Hash#each
  0.00     95.324     0.000     0.000    95.323        1   Optcarrot::NES#run
  0.00      0.001     0.000     0.000     0.001      220   Optcarrot::CPU#_bcs
  0.00      0.000     0.000     0.000     0.000       15   Array#*
  0.00      0.000     0.000     0.000     0.000        1   <Class::IO>#binread
  0.00      0.000     0.000     0.000     0.000      115   Optcarrot::CPU#_sec
  0.00      0.000     0.000     0.000     0.000      541   Integer#%
  0.00      0.000     0.000     0.000     0.000      180   Array#shift
  0.00      0.000     0.000     0.000     0.000      179   Float#/
  0.00      0.000     0.000     0.000     0.000      180   Optcarrot::Audio#tick
  0.00      0.000     0.000     0.000     0.000       32   IO#set_encoding
  0.00      0.000     0.000     0.000     0.000      179   Float#-
  0.00      0.000     0.000     0.000     0.000      180   Optcarrot::ROM#vsync
  0.00      0.000     0.000     0.000     0.000       38   Module#attr_reader
  0.00      0.000     0.000     0.000     0.000      180   Array#last
  0.00      0.000     0.000     0.000     0.000      455   Module#method_added
  0.00      0.000     0.000     0.000     0.000      332   Symbol#to_s
  0.00      0.000     0.000     0.000     0.000      180   Optcarrot::CPU#next_frame_clock
  0.00      0.000     0.000     0.000     0.000      180   Optcarrot::Input#tick
  0.00      0.000     0.000     0.000     0.000      180   Array#first
  0.00      0.000     0.000     0.000     0.000       75   Kernel#method
  0.00      0.164     0.000     0.000     0.164       42   Optcarrot::CPU#add_mappings
  0.00      0.000     0.000     0.000     0.000      218   String#tr
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::APU#reset_mapping
  0.00      0.000     0.000     0.000     0.000      299   Kernel#is_a?
  0.00      0.006     0.000     0.000     0.006        2   Optcarrot::PPU#reset
  0.00      0.000     0.000     0.000     0.000      298   String#==
  0.00      0.000     0.000     0.000     0.000        2   IO#write
  0.00      0.000     0.000     0.000     0.000        1   String#sum
  0.00      0.000     0.000     0.000     0.000        2   Integer#times
  0.00      0.001     0.000     0.000     0.001        9   Optcarrot::Config::Parser#parse_option
  0.00      0.000     0.000     0.000     0.000       26   Optcarrot::CPU#_cpx
  0.00    100.576     0.000     0.000   100.576        2   [global]#[no method]
  0.00      0.000     0.000     0.000     0.000      212   Array#include?
  0.00      0.000     0.000     0.000     0.000        8   Optcarrot::APU::Oscillator#reset
  0.00      0.003     0.000     0.000     0.003        7   Optcarrot::APU#poke_4015
  0.00      0.000     0.000     0.000     0.000      218   String#size
  0.00      0.696     0.000     0.000     0.696        1   Optcarrot::NES#initialize
  0.00      5.097     0.000     0.000     5.097       50  *Enumerable#map
  0.00      0.010     0.000     0.000     0.010        3   Optcarrot::PPU#poke_2001
  0.00      0.003     0.000     0.000     0.003        1   Optcarrot::NES#dispose
  0.00      0.001     0.000     0.000     0.001       86   <Class::Optcarrot::CPU>#op
  0.00      0.000     0.000     0.000     0.000       28   Optcarrot::APU::Oscillator#enable
  0.00      0.089     0.000     0.000     0.089        2   Optcarrot::CPU#reset
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::APU#reset
  0.00      0.000     0.000     0.000     0.000       12   Optcarrot::CPU#clear_irq
  0.00      0.000     0.000     0.000     0.000       89   String#start_with?
  0.00      0.000     0.000     0.000     0.000        7   Optcarrot::APU::DMC#enable
  0.00      0.004     0.000     0.000     0.004        1   Optcarrot::ROM#initialize
  0.00      0.000     0.000     0.000     0.000      118   Method#hash
  0.00      0.000     0.000     0.000     0.000        1   String#%
  0.00      0.643     0.000     0.000     0.643        1   Optcarrot::PPU#setup_lut
  0.00      0.000     0.000     0.000     0.000      178   NilClass#to_a
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::APU::Triangle#reset
  0.00      0.000     0.000     0.000     0.000        4   Optcarrot::APU::DMC#poke_0
  0.00      0.000     0.000     0.000     0.000        1   <Class::Struct>#new
  0.00      0.000     0.000     0.000     0.000        6   Optcarrot::APU::Envelope#reset
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::APU#initialize
  0.00      0.045     0.000     0.000     0.045        1   Optcarrot::CPU#initialize
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::APU#poke_4017
  0.00      0.119     0.000     0.000     0.119        1   Optcarrot::NES#reset
  0.00      0.000     0.000     0.000     0.000       28   Optcarrot::APU::LengthCounter#clock
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::APU::DMC#reset
  0.00      0.000     0.000     0.000     0.000        4   Optcarrot::APU::Pulse#reset
  0.00      0.000     0.000     0.000     0.000        1   Fiber#initialize
  0.00      0.000     0.000     0.000     0.000       28   Optcarrot::APU::LengthCounter#enable
  0.00      0.004     0.000     0.000     0.004        1   <Class::Optcarrot::ROM>#load
  0.00      0.002     0.000     0.000     0.002        1   Optcarrot::Video#initialize
  0.00      0.643     0.000     0.000     0.643        1   Optcarrot::PPU#initialize
  0.00      0.000     0.000     0.000     0.000       29   Class#inherited
  0.00      0.000     0.000     0.000     0.000        3   Optcarrot::APU::DMC#poke_1
  0.00      0.000     0.000     0.000     0.000       20   Kernel#instance_variable_set
  0.00      0.000     0.000     0.000     0.000        9   String#=~
  0.00      0.000     0.000     0.000     0.000       44   BasicObject#==
  0.00      0.000     0.000     0.000     0.000        3   <Module::Optcarrot::Driver>#load_each
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::ROM#parse_header
  0.00      0.000     0.000     0.000     0.000        2   IO#puts
  0.00      0.000     0.000     0.000     0.000       29   Method#eql?
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::PPU#poke_2005
  0.00      0.000     0.000     0.000     0.000        4   Optcarrot::APU::Oscillator#initialize
  0.00      0.696     0.000     0.000     0.696       27  *Class#new
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Pads#reset
  0.00      0.000     0.000     0.000     0.000        1   Float#to_s
  0.00      0.001     0.000     0.000     0.001        1   Optcarrot::Config::Parser#initialize
  0.00      0.000     0.000     0.000     0.000        8   Optcarrot::APU::LengthCounter#reset
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::APU::Noise#reset
  0.00      0.000     0.000     0.000     0.000        1   Kernel#class
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::APU::Pulse#poke_1
  0.00      0.000     0.000     0.000     0.000        3   Optcarrot::APU::DMC#poke_2
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::PPU#update_enabled_flags
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::APU::Pulse#initialize
  0.00      0.000     0.000     0.000     0.000        4   Optcarrot::Config::Parser#parse_operand
  0.00      0.000     0.000     0.000     0.000        4   Optcarrot::APU::Oscillator#update_settings
  0.00      0.001     0.000     0.000     0.001        9   Optcarrot::Config::Parser#find_option
  0.00      0.000     0.000     0.000     0.000        1   Module#attr_writer
  0.00      0.000     0.000     0.000     0.000        3   Optcarrot::APU::Mixer#reset
  0.00      0.000     0.000     0.000     0.000       12   BasicObject#singleton_method_added
  0.00      0.000     0.000     0.000     0.000        2   Kernel#puts
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::PPU#update_output_color
  0.00      0.000     0.000     0.000     0.000        1   Module#attr_accessor
  0.00      0.000     0.000     0.000     0.000        9   String#split
  0.00      0.000     0.000     0.000     0.000       28   Hash#key?
  0.00      0.000     0.000     0.000     0.000        4   Optcarrot::APU::Pulse#poke_3
  0.00      0.002     0.000     0.000     0.002        1   <Module::Optcarrot::Driver>#load
  0.00      0.000     0.000     0.000     0.000        2   Kernel#dup
  0.00      0.000     0.000     0.000     0.000        2   Module#append_features
  0.00      0.000     0.000     0.000     0.000        1   <Class::File>#basename
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::PPU#nametables=
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Pads#initialize
  0.00      0.000     0.000     0.000     0.000        3   Optcarrot::APU::DMC#poke_3
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Audio#initialize
  0.00      0.006     0.000     0.000     0.006        8   Enumerator#each
  0.00      0.000     0.000     0.000     0.000       10   Optcarrot::CPU#_stx
  0.00      0.000     0.000     0.000     0.000        1   Hash#merge
  0.00      0.000     0.000     0.000     0.000        1   Integer#to_s
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::CPU#boot
  0.00      0.000     0.000     0.000     0.000        2   Array#fill
  0.00      0.000     0.000     0.000     0.000        5   Optcarrot::APU::Envelope#reset_clock
  0.00      0.069     0.000     0.000     0.069        1   Optcarrot::ROM#reset
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::APU::Triangle#initialize
  0.00      0.000     0.000     0.000     0.000        3   Enumerable#to_a
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::CPU#_txs
  0.00      0.000     0.000     0.000     0.000        4   BasicObject#equal?
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::CPU#odd_clock?
  0.00      0.000     0.000     0.000     0.000        2   Optcarrot::Pad#initialize
  0.00      0.000     0.000     0.000     0.000        3   Module#const_get
  0.00      0.000     0.000     0.000     0.000        1   Kernel#freeze
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::PPU#set_chr_mem
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::APU::Mixer#initialize
  0.00      0.001     0.000     0.000     0.001        1   Optcarrot::Config#initialize
  0.00      0.000     0.000     0.000     0.000        2   Module#module_function
  0.00      0.000     0.000     0.000     0.000        1   Array#==
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Audio#spec
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::APU::DMC#initialize
  0.00      0.000     0.000     0.000     0.000        1   Hash#initialize_copy
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Video#dispose
  0.00      0.000     0.000     0.000     0.000        1   Kernel#Integer
  0.00      0.000     0.000     0.000     0.000       10   Array#empty?
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::ROM#save_battery
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Config#info
  0.00      0.000     0.000     0.000     0.000        1   Array#max
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::APU::Noise#initialize
  0.00      0.000     0.000     0.000     0.000        7   BasicObject#initialize
  0.00      0.000     0.000     0.000     0.000        2   Hash#fetch
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Input#init
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Input#initialize
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Video#init
  0.00      0.000     0.000     0.000     0.000        1   <Class::File>#extname
  0.00      0.002     0.000     0.000     0.002        1   Enumerable#flat_map
  0.00      0.000     0.000     0.000     0.000        3   Optcarrot::Config#debug
  0.00      0.000     0.000     0.000     0.000        3   String#to_sym
  0.00      0.000     0.000     0.000     0.000        2   Array#unshift
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::ROM#init
  0.00      0.000     0.000     0.000     0.000        1   Enumerable#all?
  0.00      0.000     0.000     0.000     0.000        2   Kernel#initialize_dup
  0.00      0.000     0.000     0.000     0.000        4   Optcarrot::Pad#reset
  0.00      0.000     0.000     0.000     0.000        3   Hash#keys
  0.00      0.000     0.000     0.000     0.000        2   Module#included
  0.00      0.000     0.000     0.000     0.000        1   Array#rotate!
  0.00      0.002     0.000     0.000     0.002        1   <Module::Optcarrot::Palette>#defacto_palette
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::CPU#_sei
  0.00      0.000     0.000     0.000     0.000        1   Array#+
  0.00      0.000     0.000     0.000     0.000        1   Hash#compare_by_identity
  0.00      0.000     0.000     0.000     0.000        1   Array#initialize_copy
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Audio#dispose
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Audio#init
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::Input#dispose
  0.00      0.000     0.000     0.000     0.000        1   Module#==
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::ROM#load_battery
  0.00      0.000     0.000     0.000     0.000        1   Array#reverse
  0.00      0.000     0.000     0.000     0.000        2   Module#include

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 70134173740700
Fiber ID: 70134220087020
Total: 95.125293
Sort by: self_time

 %self      total      self      wait     child     calls  name
 19.02     76.871    18.092     0.000    58.779    86278   Numeric#step
 11.13     16.723    10.584     0.000     6.139 10997760   Optcarrot::PPU#render_pixel
  7.59     10.835     7.223     0.000     3.612 13234902   Optcarrot::PPU#wait_one_clock
  4.59      4.364     4.364     0.000     0.000 33197881   Array#[]
  3.99      3.800     3.800     0.000     0.000 28029482   Integer#+
  3.42      5.142     3.255     0.000     1.887  2679680   Optcarrot::PPU#evaluate_sprites_odd_phase_1
  3.05      9.205     2.897     0.000     6.308  4019592   Optcarrot::PPU#evaluate_sprites_odd
  2.21      2.101     2.101     0.000     0.000 16675332   Integer#<=
  2.15      2.948     2.047     0.000     0.901  3545240   Optcarrot::PPU#open_pattern
  1.99      2.413     1.896     0.000     0.517  4019591   Optcarrot::PPU#evaluate_sprites_even
  1.97      1.871     1.871     0.000     0.000  7147593   Optcarrot::PPU#update_address_line
  1.80      1.715     1.715     0.000     0.000 11864340   Integer#==
  1.77      1.682     1.682     0.000     0.000 10997760   Array#<<
  1.64      1.556     1.556     0.000     0.000 10997760   Integer#%
  1.64      1.556     1.556     0.000     0.000 11053831   Integer#>=
  1.54      2.455     1.468     0.000     0.987  1776976   Optcarrot::PPU#open_attr
  1.41      1.992     1.337     0.000     0.655  1426136   Optcarrot::PPU#scroll_clock_x
  1.19      1.624     1.136     0.000     0.488  1863253   Optcarrot::PPU#open_name
